"id";"photo";"web_name";"team_code";"status";"code";"first_name";"second_name";"squad_number";"news";"now_cost";"chance_of_playing_this_round";"chance_of_playing_next_round";"value_form";"value_season";"cost_change_start";"cost_change_event";"cost_change_start_fall";"cost_change_event_fall";"in_dreamteam";"dreamteam_count";"selected_by_percent";"form";"transfers_out";"transfers_in";"transfers_out_event";"transfers_in_event";"loans_in";"loans_out";"loaned_in";"loaned_out";"total_points";"event_points";"points_per_game";"ep_this";"ep_next";"special";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"element_type";"team";"dato"
34;"156592.jpg";"Acosta";303;"a";156592;"Bismar";"Acosta";15;"";60;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"13.1";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;2;2;2017-04-01
35;"18668.jpg";"Braaten";303;"a";18668;"Daniel";"Braaten";25;"";65;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"5.5";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;3;2;2017-04-01
36;"62025.jpg";"Larsen";303;"a";62025;"Peter Orry";"Larsen";7;"";75;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"2.4";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;3;2;2017-04-01
37;"95525.jpg";"Haugen";303;"a";95525;"Fredrik";"Haugen";8;"";90;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"8.0";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"3.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;3;2;2017-04-01
38;"95528.jpg";"Barmen";303;"a";95528;"Kristoffer";"Barmen";29;"";65;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"5.6";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;3;2;2017-04-01
39;"102678.jpg";"Vega";303;"a";102678;"Deyver";"Vega";19;"";70;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"5.2";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;3;2;2017-04-01
40;"115102.jpg";"Skaanes";303;"a";115102;"Kasper";"Skaanes";9;"";55;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"2.0";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;3;2;2017-04-01
41;"126317.jpg";"Heltne Nilsen";303;"a";126317;"Sivert";"Heltne Nilsen";23;"";55;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"4.1";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;3;2;2017-04-01
42;"223091.jpg";"Stenevik";303;"a";223091;"Halldor";"Stenevik";20;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"1.5";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"1.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;3;2;2017-04-01
43;"14575.jpg";"Karadas";303;"a";14575;"Azar";"Karadas";18;"";60;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"1.5";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;4;2;2017-04-01
44;"66534.jpg";"Orlov";303;"a";66534;"Jakob";"Orlov";10;"";75;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"4.5";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;4;2;2017-04-01
45;"221232.jpg";"Skålevik";303;"a";221232;"Steffen";"Skålevik";11;"";70;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"1.3";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;4;2;2017-04-01
46;"62015.jpg";"Børven";303;"a";62015;"Torgeir";"Børven";22;"";90;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"8.3";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"3.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;4;2;2017-04-01
47;"108130.jpg";"Sandvik";3376;"a";108130;"Helge";"Sandvik";12;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"0.4";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;1;3;2017-04-01
48;"124132.jpg";"Bråtveit";3376;"a";124132;"Per Kristian";"Bråtveit";1;"";50;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"2.8";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"3.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;1;3;2017-04-01
49;"209224.jpg";"Børreson Fossdal";3376;"a";209224;"Herman";"Børreson Fossdal";24;"";40;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"0.9";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"1.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;1;3;2017-04-01
50;"63878.jpg";"Skjerve";3376;"a";63878;"Vegard";"Skjerve";18;"";50;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"3.0";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;2;3;2017-04-01
51;"81786.jpg";"Andreassen";3376;"a";81786;"Tor Arne";"Andreassen";11;"";50;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"0.8";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;2;3;2017-04-01
52;"179304.jpg";"Stølås";3376;"a";179304;"Alexander";"Stølås";22;"";55;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"5.4";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;2;3;2017-04-01
53;"224083.jpg";"Izuchukwu";3376;"a";224083;"Anthony";"Izuchukwu";15;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"0.9";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;2;3;2017-04-01
54;"245578.jpg";"Knudsen";3376;"a";245578;"Fredrik";"Knudsen";4;"";50;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"0.8";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;2;3;2017-04-01
55;"48513.jpg";"Huseklepp";3376;"a";48513;"Erik";"Huseklepp";10;"";85;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"11.0";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"3.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;3;3;2017-04-01
56;"67242.jpg";"Kiss";3376;"a";67242;"Filip";"Kiss";6;"";80;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"2.5";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"3.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;3;3;2017-04-01
57;"81788.jpg";"Mæland";3376;"a";81788;"Eirik";"Mæland";13;"";50;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"0.9";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"1.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;3;3;2017-04-01
58;"118808.jpg";"Hajradinovic";3376;"a";118808;"Haris";"Hajradinovic";23;"";75;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"4.3";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;3;3;2017-04-01
59;"156595.jpg";"Tronstad";3376;"a";156595;"Sondre";"Tronstad";8;"";50;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"1.3";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"1.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;3;3;2017-04-01
60;"208396.jpg";"Kling";3376;"a";208396;"Robert";"Kling";29;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"0.9";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"1.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;3;3;2017-04-01
61;"226887.jpg";"Horneland";3376;"a";226887;"Thomas";"Horneland";30;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"0.5";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"1.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;3;3;2017-04-01
62;"232031.jpg";"Gunnarshaug";3376;"a";232031;"Kristoff";"Gunnarshaug";31;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"0.4";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"1.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;3;3;2017-04-01
63;"53370.jpg";"Abdi";3376;"a";53370;"Liban";"Abdi";7;"";60;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"1.0";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;4;3;2017-04-01
64;"89368.jpg";"Gytkjær";3376;"a";89368;"Frederik";"Gytkjær";9;"";75;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"11.4";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;4;3;2017-04-01
65;"224084.jpg";"Shuaibu";3376;"a";224084;"Ibrahim";"Shuaibu";17;"";50;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"1.8";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"1.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;4;3;2017-04-01
66;"224097.jpg";"Krygard";3376;"a";224097;"Kevin Martin";"Krygard";NA;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"0.7";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"1.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;4;3;2017-04-01
67;"247409.jpg";"Buduson";3376;"a";247409;"Johnny";"Buduson";20;"";50;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"0.3";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"1.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;4;3;2017-04-01
