"id";"kickoff_time";"kickoff_time_formatted";"team_h_score";"team_a_score";"was_home";"round";"total_points";"value";"transfers_balance";"selected";"transfers_in";"transfers_out";"loaned_in";"loaned_out";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"own_goals";"element";"fixture";"opponent_team";"id_player";"dato"
460;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;1;50;-113;4832;72;185;0;0;10;0;0;0;0;0;0;0;0;0;0;0;30;15;13;30;2017-04-08
31;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;2;55;0;2923;0;0;0;0;90;0;0;0;1;0;0;0;0;0;0;0;31;7;14;31;2017-04-08
461;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;6;55;-65;3064;43;108;0;0;90;0;0;1;0;0;0;0;0;0;0;0;31;15;13;31;2017-04-08
32;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;0;45;0;447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;7;14;32;2017-04-08
462;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;0;45;-73;404;1;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;15;13;32;2017-04-08
33;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;9;60;0;2582;0;0;0;0;87;0;1;1;0;0;0;0;0;0;0;0;33;7;14;33;2017-04-08
463;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;6;60;525;4293;568;43;0;0;90;0;0;1;0;0;0;0;0;0;0;0;33;15;13;33;2017-04-08
34;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;1;60;0;7773;0;0;0;0;90;0;0;0;1;0;0;1;0;0;0;0;34;7;14;34;2017-04-08
464;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;6;60;-312;7954;53;365;0;0;90;0;0;1;0;0;0;0;0;0;0;0;34;15;13;34;2017-04-08
35;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;5;65;0;3280;0;0;0;0;90;0;0;0;1;0;0;0;0;0;3;0;35;7;14;35;2017-04-08
465;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;0;65;555;4679;652;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;15;13;35;2017-04-08
36;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;0;75;0;1443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;7;14;36;2017-04-08
466;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;0;75;-194;1341;3;197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;15;13;36;2017-04-08
37;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;3;90;0;4696;0;0;0;0;76;0;0;1;0;0;0;0;0;0;0;0;37;7;14;37;2017-04-08
467;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;9;90;-110;5060;112;222;0;0;90;0;1;1;0;0;0;0;0;0;3;0;37;15;13;37;2017-04-08
38;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;2;65;0;3195;0;0;0;0;90;0;0;0;1;0;0;0;0;0;0;0;38;7;14;38;2017-04-08
468;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;8;65;-43;3395;93;136;0;0;90;1;0;1;0;0;0;0;0;0;0;0;38;15;13;38;2017-04-08
39;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;0;70;0;3089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;7;14;39;2017-04-08
469;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;2;70;-419;2812;11;430;0;0;63;0;0;1;0;0;0;1;0;0;0;0;39;15;13;39;2017-04-08
40;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;1;55;0;1103;0;0;0;0;14;0;0;0;1;0;0;0;0;0;0;0;40;7;14;40;2017-04-08
470;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;0;55;-81;1071;10;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;15;13;40;2017-04-08
41;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;2;55;0;2473;0;0;0;0;90;0;0;0;1;0;0;0;0;0;0;0;41;7;14;41;2017-04-08
471;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;4;55;41;2827;142;101;0;0;90;0;0;1;0;0;0;0;0;0;1;0;41;15;13;41;2017-04-08
42;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;0;45;0;854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;7;14;42;2017-04-08
472;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;0;45;-49;866;12;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;15;13;42;2017-04-08
43;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;0;60;0;894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;7;14;43;2017-04-08
473;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;0;60;-122;845;15;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;15;13;43;2017-04-08
44;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;6;75;0;2671;0;0;0;0;76;1;0;1;0;0;0;0;0;0;0;0;44;7;14;44;2017-04-08
474;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;10;75;152;3228;242;90;0;0;27;1;1;0;0;0;0;0;0;0;2;0;44;15;13;44;2017-04-08
45;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;1;70;0;789;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;45;7;14;45;2017-04-08
475;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;1;70;-127;723;15;142;0;0;27;0;0;0;0;0;0;0;0;0;0;0;45;15;13;45;2017-04-08
46;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;1;90;0;4703;0;0;0;0;14;0;0;0;1;0;0;0;0;0;0;0;46;7;14;46;2017-04-08
476;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;5;90;-829;4125;37;866;0;0;63;0;1;1;0;0;0;0;0;0;0;0;46;15;13;46;2017-04-08
47;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;45;0;265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;6;13;47;2017-04-08
477;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;0;45;-9;273;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;16;15;47;2017-04-08
48;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;1;50;0;1628;0;0;0;0;90;0;0;0;3;0;0;0;0;2;0;0;48;6;13;48;2017-04-08
478;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;2;50;-47;1732;19;66;0;0;90;0;0;0;3;0;0;0;0;4;0;0;48;16;15;48;2017-04-08
49;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;40;0;530;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;6;13;49;2017-04-08
479;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;0;40;-7;570;10;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;16;15;49;2017-04-08
