"id";"photo";"web_name";"team_code";"status";"code";"first_name";"second_name";"squad_number";"news";"now_cost";"chance_of_playing_this_round";"chance_of_playing_next_round";"value_form";"value_season";"cost_change_start";"cost_change_event";"cost_change_start_fall";"cost_change_event_fall";"in_dreamteam";"dreamteam_count";"selected_by_percent";"form";"transfers_out";"transfers_in";"transfers_out_event";"transfers_in_event";"loans_in";"loans_out";"loaned_in";"loaned_out";"total_points";"event_points";"points_per_game";"ep_this";"ep_next";"special";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"own_goals";"element_type";"team";"dato";"navn";"posisjon";"team_navn";"team_1";"team_2";"team_now";"solution_full";"solution_incremental";"team_3"
24;"173531.jpg";"Berisha";2745;"a";173531;"Valmir";"Berisha";9;"";59;NA;NA;"0.3";"1.0";-1;-1;1;1;FALSE;0;3;"2.0";670;128;79;6;0;0;0;0;6;1;"2.0";"2.0";"2.0";FALSE;89;0;1;0;1;0;0;0;0;0;0;0;4;1;2017-04-10;"Valmir Berisha";"Angrep";"AAFK";0;0;0;0;0;0
25;"88460.jpg";"Horwath";303;"a";88460;"Alex";"Horwath";1;"";50;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;1,1;"0.0";135;9;19;1;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2017-04-10;"Alex Horwath";"Keeper";"BRA";0;0;0;0;0;0
26;"95516.jpg";"Leciejewski";303;"a";95516;"Piotr";"Leciejewski";24;"";55;NA;NA;"0.6";"1.8";0;0;0;0;FALSE;0;24;"3.3";551;895;71;230;0;0;0;0;10;2;"3.3";"3.0";"3.0";FALSE;270;0;0;1;2;0;0;0;0;3;0;0;1;2;2017-04-10;"Piotr Leciejewski";"Keeper";"BRA";0;0;0;0;0;0
27;"224198.jpg";"Pettersen";303;"a";224198;"Markus";"Pettersen";12;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,3;"0.0";19;3;2;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2017-04-10;"Markus Pettersen";"Keeper";"BRA";0;0;0;0;0;0
28;"56578.jpg";"Wormgoor";303;"a";56578;"Vito";"Wormgoor";3;"";55;NA;NA;"0.4";"1.1";0;0;0;0;FALSE;0;8;"2.0";703;285;51;55;0;0;0;0;6;1;"3.0";"2.0";"2.0";FALSE;170;0;0;1;1;0;0;2;0;0;0;0;2;2;2017-04-10;"Vito Wormgoor";"Forsvar";"BRA";0;0;0;0;0;0
29;"61968.jpg";"Nouri";303;"a";61968;"Amin";"Nouri";33;"";55;NA;NA;"0.6";"1.8";0;0;0;0;FALSE;0;6,7;"3.3";290;318;53;39;0;0;0;0;10;2;"3.3";"3.0";"3.0";FALSE;257;0;0;1;2;0;0;0;0;0;0;0;2;2;2017-04-10;"Amin Nouri";"Forsvar";"BRA";1;1;1;0;1;1
30;"106319.jpg";"Grønner";303;"a";106319;"Jonas";"Grønner";5;"";50;NA;NA;"0.1";"0.4";0;0;0;0;FALSE;0;6,6;"0.7";713;106;148;4;0;0;0;0;2;0;"1.0";"1.0";"1.0";FALSE;100;0;0;0;1;0;0;1;0;0;0;0;2;2;2017-04-10;"Jonas Grønner";"Forsvar";"BRA";0;0;0;0;0;0
31;"111851.jpg";"Kristiansen";303;"a";111851;"Ruben";"Kristiansen";21;"";55;NA;NA;"0.6";"1.8";0;0;0;0;FALSE;0;4,8;"3.3";216;207;39;36;0;0;0;0;10;2;"3.3";"3.0";"3.0";FALSE;270;0;0;1;2;0;0;0;0;0;0;0;2;2;2017-04-10;"Ruben Kristiansen";"Forsvar";"BRA";1;1;1;0;1;1
32;"114686.jpg";"Hatakka";303;"u";114686;"Dani";"Hatakka";26;"Utilgjengelig";45;0;0;"0.0";"0.0";0;0;0;0;FALSE;0;0,5;"0.0";151;1;11;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2017-04-10;"Dani Hatakka";"Forsvar";"BRA";0;0;0;0;0;0
33;"116607.jpg";"Ròlantsson";303;"a";116607;"Gilli";"Sørensen";17;"";60;NA;NA;"0.9";"2.8";0;0;0;0;FALSE;1;9,9;"5.7";141;2273;28;461;0;0;0;0;17;2;"5.7";"6.0";"6.0";FALSE;267;0;1;2;1;0;0;0;0;0;0;0;2;2;2017-04-10;"Gilli Sørensen";"Forsvar";"BRA";0;0;0;1;0;0
34;"156592.jpg";"Acosta";303;"a";156592;"Bismar";"Acosta";15;"";60;NA;NA;"0.5";"1.5";0;0;0;0;FALSE;0;12;"3.0";618;178;75;35;0;0;0;0;9;2;"3.0";"3.0";"3.0";FALSE;270;0;0;1;2;0;0;1;0;0;0;0;2;2;2017-04-10;"Bismar Acosta";"Forsvar";"BRA";0;0;0;0;0;0
35;"18668.jpg";"Braaten";303;"a";18668;"Daniel";"Braaten";25;"";65;NA;NA;"0.3";"0.9";0;0;0;0;FALSE;0;6,6;"2.0";647;757;123;17;0;0;0;0;6;1;"3.0";"2.0";"2.0";FALSE;135;0;0;0;1;0;0;0;0;0;3;0;3;2;2017-04-10;"Daniel Braaten";"Midtbane";"BRA";0;0;0;0;0;0
36;"62025.jpg";"Larsen";303;"a";62025;"Peter Orry";"Larsen";7;"";74;NA;NA;"0.0";"0.0";-1;0;1;0;FALSE;0;1,8;"0.0";367;11;22;1;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2017-04-10;"Peter Orry Larsen";"Midtbane";"BRA";0;0;0;0;0;0
37;"95525.jpg";"Haugen";303;"a";95525;"Fredrik";"Haugen";8;"";90;NA;NA;"0.5";"1.6";0;0;0;0;FALSE;0;9,1;"4.7";389;849;64;191;0;0;0;0;14;2;"4.7";"5.0";"5.0";FALSE;256;0;1;2;1;0;0;0;0;0;3;0;3;2;2017-04-10;"Fredrik Haugen";"Midtbane";"BRA";0;0;0;0;0;0
38;"95528.jpg";"Barmen";303;"a";95528;"Kristoffer";"Barmen";29;"";65;NA;NA;"0.6";"1.8";0;0;0;0;FALSE;0;7,1;"4.0";282;1301;69;133;0;0;0;0;12;2;"4.0";"4.0";"4.0";FALSE;270;1;0;1;2;0;0;0;0;0;0;0;3;2;2017-04-10;"Kristoffer Barmen";"Midtbane";"BRA";0;0;0;0;0;0
39;"102678.jpg";"Vega";303;"a";102678;"Deyver";"Vega";19;"";69;NA;NA;"0.1";"0.4";-1;0;1;0;FALSE;0;3,9;"1.0";700;30;68;7;0;0;0;0;3;1;"1.5";"1.0";"1.0";FALSE;108;0;0;1;1;0;0;1;0;0;0;0;3;2;2017-04-10;"Deyver Vega";"Midtbane";"BRA";0;0;0;0;0;0
40;"115102.jpg";"Skaanes";303;"a";115102;"Kasper";"Skaanes";9;"";54;NA;NA;"0.1";"0.2";-1;-1;1;1;FALSE;0;1,4;"0.3";258;19;39;1;0;0;0;0;1;0;"1.0";"0.0";"0.0";FALSE;14;0;0;0;1;0;0;0;0;0;0;0;3;2;2017-04-10;"Kasper Skaanes";"Midtbane";"BRA";0;0;0;0;0;0
